Time,Door,Car,Speed
18:10,1906,31.0,97.0
18:10,1802,31.0,104.0
18:10,1960,31.0,100.0
18:10,1839,31.0,100.0
18:10,2011,31.0,100.0
18:10,1906,31.0,100.0
18:10,2089,31.0,97.0
18:10,1960,31.0,97.0
18:10,2156,31.0,100.0
18:10,2011,31.0,104.0
18:10,2249,31.0,100.0
18:10,2089,31.0,104.0
18:10,2322,31.0,100.0
18:10,2156,31.0,108.0
18:10,2394,31.0,104.0
18:10,2249,31.0,104.0
18:10,2425,31.0,108.0
18:10,2322,31.0,108.0
18:10,2472,31.0,104.0
18:10,2394,31.0,108.0
18:10,2514,31.0,104.0
18:10,2425,31.0,104.0
18:10,2603,31.0,104.0
18:10,2472,31.0,104.0
18:10,2674,31.0,104.0
18:10,2514,31.0,108.0
18:10,2714,31.0,104.0
18:10,2603,31.0,108.0
18:10,2827,31.0,104.0
18:10,2674,31.0,104.0
18:10,2866,31.0,108.0
18:10,2714,31.0,108.0
18:10,2930,31.0,108.0
18:10,2827,31.0,104.0
18:10,3019,31.0,106.0
18:10,2866,31.0,111.0
18:10,3083,31.0,104.0
18:10,2930,31.0,104.0
18:10,3126,31.0,100.0
18:10,3019,31.0,100.0
18:10,3185,31.0,97.0
18:10,3083,31.0,104.0
18:10,3227,31.0,104.0
18:10,3126,31.0,93.0
18:10,3252,31.0,93.0
18:10,3185,31.0,68.0
18:10,3286,31.0,97.0
18:10,3227,31.0,90.0
18:10,3366,31.0,90.0
18:10,3252,31.0,100.0
18:10,3398,31.0,93.0
18:10,3286,31.0,97.0
18:10,3460,31.0,93.0
18:10,3366,31.0,97.0
18:10,3535,31.0,97.0
18:10,3398,31.0,54.0
18:10,3559,31.0,93.0
18:10,3460,31.0,82.0
18:10,3590,31.0,88.0
18:10,3535,31.0,75.0
18:10,3640,31.0,93.0
18:10,3561,31.0,68.0
18:10,3676,31.0,82.0
18:10,3590,31.0,82.0
18:10,3696,31.0,79.0
18:10,3640,31.0,72.0
18:10,3676,31.0,79.0
18:10,3736,31.0,90.0
18:10,3686,31.0,90.0
18:10,0099,31.0,104.0
18:10,0200,31.0,88.0
18:10,0208,31.0,97.0
18:10,0163,31.0,36.0
18:10,0271,31.0,82.0
18:10,0340,31.0,72.0
18:10,0333,31.0,68.0
18:10,0206,31.0,68.0
18:10,0447,31.0,54.0
18:10,0305,31.0,82.0
18:10,0579,31.0,93.0
18:10,0339,31.0,90.0
18:10,0334,31.0,93.0
18:10,0633,31.0,39.0
18:10,0608,31.0,82.0
18:10,0447,31.0,97.0
18:10,0750,31.0,97.0
18:10,0578,31.0,43.0
18:10,0579,31.0,77.0
18:10,0099,31.0,48.0
18:10,0147,31.0,82.0
18:10,0174,31.0,93.0
18:10,0099,31.0,50.0
18:10,0147,31.0,75.0
18:10,0174,31.0,90.0
18:10,0511,31.0,43.0
18:10,0532,31.0,50.0
18:10,0511,31.0,50.0
18:10,0532,31.0,59.0
18:10,0980,31.0,68.0
18:10,1045,31.0,93.0
18:10,0980,31.0,82.0
18:10,1045,31.0,72.0
18:10,1621,31.0,0.0
